Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
₹2,"₹2,500","₹12,499",5 TB,3 years,"External 3.5""",HDD,New,"Seagate One Touch 5TB External HDD with Password Protection Space Gray, for Windows and Mac, with 3 yr Data Recovery Services, and 6 Months Mylio Create Plan and Dropbox Backup Plan (STKZ5000404)","<a href=""https://www.amazon.in/dp/B094R327VT"">Seagate One Touch 5TB External HDD with Password Protection Space Gray, for Windows and Mac, with 3 yr Data Recovery Services, and 6 Months Mylio Create Plan and Dropbox Backup Plan (STKZ5000404)</a>"
₹2,"₹2,500","₹14,999",6 TB,3 years,"External 3.5""",HDD,New,"Seagate Expansion 6TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP6000400)","<a href=""https://www.amazon.in/dp/B092R599W5"">Seagate Expansion 6TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP6000400)</a>"
₹3,"₹2,525","₹10,100",4 TB,,"Internal 3.5""",HDD,New,"Western Digital 4TB WD Purple Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD42PURZ","<a href=""https://www.amazon.in/dp/B09MSDP2DT"">Western Digital 4TB WD Purple Surveillance Internal Hard Drive HDD - SATA 6 Gb/s, 256 MB Cache, 3.5"" - WD42PURZ</a>"
₹3,"₹2,600","₹25,999",10 TB,3 years,"External 3.5""",HDD,New,"Seagate Expansion 10TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP10000400)","<a href=""https://www.amazon.in/dp/B092R53KPP"">Seagate Expansion 10TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP10000400)</a>"
₹3,"₹2,600","₹20,800",8 TB,,"External 3.5""",HDD,New,"Western Digital WD 8TB My Book Desktop External Hard Disk Drive-3.5Inch, USB 3.0 with Automatic Backup,256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows&Mac, Portable HDD","<a href=""https://www.amazon.in/dp/B01MZ6OB44"">Western Digital WD 8TB My Book Desktop External Hard Disk Drive-3.5Inch, USB 3.0 with Automatic Backup,256 Bit AES Hardware Encryption,Password Protection,Compatible with Windows&Mac, Portable HDD</a>"
₹3,"₹2,625","₹10,499",4 TB,3 years,"External 3.5""",HDD,New,"Seagate Expansion 4TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP4000400)","<a href=""https://www.amazon.in/dp/B092R6S16L"">Seagate Expansion 4TB Desktop External HDD - USB 3.0 for Windows and Mac with 3 yr Data Recovery Services, Portable Hard Drive (STKP4000400)</a>"
₹3,"₹2,637","₹10,549",4 TB,3 years,"External 3.5""",HDD,New,"Western Digital WD 4TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0040BBK-EESN)","<a href=""https://www.amazon.in/dp/B07D7352GP"">Western Digital WD 4TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0040BBK-EESN)</a>"
₹3,"₹2,646","₹21,171",8 TB,5 years,"Internal 3.5""",HDD,New,Seagate Skyhawk AI 8TB Video Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 256 MB Cache for DVR NVR Security Camera System with 3-Years Data Recovery Services (ST8000VE001),"<a href=""https://www.amazon.in/dp/B08KTM4SNY"">Seagate Skyhawk AI 8TB Video Internal Hard Drive HDD – 3.5 Inch SATA 6 Gb/s 256 MB Cache for DVR NVR Security Camera System with 3-Years Data Recovery Services (ST8000VE001)</a>"
₹3,"₹2,660","₹13,299",5 TB,3 years,"External 3.5""",HDD,New,"WD Western Digital 5TB My Passport Ultra Portable Hard Disk Metal Drive, USB-C & USB 3.1 with Automatic Backup,Password Protection, Compatible with Windows&Mac, External HDD-Blue","<a href=""https://www.amazon.in/dp/B07X46C64N"">WD Western Digital 5TB My Passport Ultra Portable Hard Disk Metal Drive, USB-C & USB 3.1 with Automatic Backup,Password Protection, Compatible with Windows&Mac, External HDD-Blue</a>"
₹3,"₹2,687","₹10,749",4 TB,3 years,"External 3.5""",HDD,New,Seagate Portable 4TB External HDD USB 3.0 for PC Laptop and Mac (STGX4000400),"<a href=""https://www.amazon.in/dp/B07DQ3KW45"">Seagate Portable 4TB External HDD USB 3.0 for PC Laptop and Mac (STGX4000400)</a>"
