Price_per_GB,Price_per_TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML,,,,
$0.01 ,$8.57 ,$257 ,25 GB x1200,1 year,Optical,BD-R,New,"Mediaxpo Grade A Blu-ray 4X BD-R 25GB Disc Shiny Silver (Pack of 1,200)","<a href=""https://www.amazon.com/dp/B08DJD3THS"">Mediaxpo Grade A Blu-ray 4X BD-R 25GB Disc Shiny Silver (Pack of 1,200)</a>",,,,
$0.01 ,$8.67 ,"$1,040 ",6 TB x20,,Tape,LTO-7,New,"HP LTO Ultrium-7 Data Cartridge, 20 x LTO Ultrium 7-6 TB / 15 TB - bar Code Labeled C7977AN","<a href=""https://www.amazon.com/dp/B017OUMWX6"">HP LTO Ultrium-7 Data Cartridge, 20 x LTO Ultrium 7-6 TB / 15 TB - bar Code Labeled C7977AN</a>",,,,
$0.01 ,$8.67 ,$52 ,6 TB,,Tape,LTO-7,New,FUJI 16456574 LTO7 Ultrium7 15TB RW Data Cartridge (NEW),"<a href=""https://www.amazon.com/dp/B01N4RDLZ5"">FUJI 16456574 LTO7 Ultrium7 15TB RW Data Cartridge (NEW)</a>",,,,
$0.01 ,$8.67 ,$520 ,6 TB x10,,Tape,LTO-7,New,IBM LTO 7 Tape - 10 Pack,"<a href=""https://www.amazon.com/dp/B0743JPB97"">IBM LTO 7 Tape - 10 Pack</a>",,,,
$0.01 ,$8.67 ,$13 ,1.5 TB,,Tape,LTO-5,New,LTO5 Ultrium 1.5TB/3TB with Case,"<a href=""https://www.amazon.com/dp/B003KR4CXQ"">LTO5 Ultrium 1.5TB/3TB with Case</a>",,,,
$0.01 ,$8.68 ,"$1,041 ",6 TB x20,,Tape,LTO-7,New,Fuji 16495659 Lto Ultrium-7 16456574 6tb/15tb Lto-7 20/pk Library Pack,"<a href=""https://www.amazon.com/dp/B077YW4BKL"">Fuji 16495659 Lto Ultrium-7 16456574 6tb/15tb Lto-7 20/pk Library Pack</a>",,,,
$0.01 ,$8.70 ,$22 ,2.5 TB,,Tape,LTO-6,New,Sony LTX2500G LTO Ultrium 6 Data Cartridge 2.50 TB (Native) / 6.25 TB (Compressed) 2775.59 ft (LTX2500G),"<a href=""https://www.amazon.com/dp/B00ICHHWKO"">Sony LTX2500G LTO Ultrium 6 Data Cartridge 2.50 TB (Native) / 6.25 TB (Compressed) 2775.59 ft (LTX2500G)</a>",,,,
$0.01 ,$8.74 ,$22 ,2.5 TB,,Tape,LTO-6,New,Fujifilm LTO Ultrium Data Cartridge - LTO-6 - Labeled - 2.50 TB (Native) / 6.25 TB (Compressed) - 2775.59 ft Tape Length - 160 MB/s Native Data Transfer Rate - 400 MB/s Compressed Data Transfer Rate,"<a href=""https://www.amazon.com/dp/B00E7MHG3G"">Fujifilm LTO Ultrium Data Cartridge - LTO-6 - Labeled - 2.50 TB (Native) / 6.25 TB (Compressed) - 2775.59 ft Tape Length - 160 MB/s Native Data Transfer Rate - 400 MB/s Compressed Data Transfer Rate</a>",,,,
$0.01 ,$8.82 ,$529 ,6 TB x10,,Tape,LTO-7,New,HP LTO Ultrium 7 Tape Cartridge 10 Pack,"<a href=""https://www.amazon.com/dp/B071GPS5G7"">HP LTO Ultrium 7 Tape Cartridge 10 Pack</a>",,,,
$0.01 ,$8.83 ,$53 ,6 TB,,Tape,LTO-7,New,Fujifilm Fuji LTO Ultrium 7-6 TB / 15 TB (16456574),"<a href=""https://www.amazon.com/dp/B018WJQKRC"">Fujifilm Fuji LTO Ultrium 7-6 TB / 15 TB (16456574)</a>","<a href=""https://www.amazon.com/dp/B019DGCRAW"">Fujifilm Fuji LTO Ultrium 7-6 TB / 15 TB (16456574)</a>",,,
$0.01 ,$8.83 ,$106 ,12 TB,3 months,"Internal 3.5""",HDD,Used,HGST - WD Ultrastar DC HC520 HDD | HUH721212ALE601 | 12TB 7200RPM SATA 6Gb/s 256MB Cache 3.5-Inch | ISE 512e | Helium Data Center Internal Hard Disk Drive (Renewed),"<a href=""https://www.amazon.com/dp/B07Y8GF5M6"">HGST - WD Ultrastar DC HC520 HDD | HUH721212ALE601 | 12TB 7200RPM SATA 6Gb/s 256MB Cache 3.5-Inch | ISE 512e | Helium Data Center Internal Hard Disk Drive (Renewed)</a>",,,,
