Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
A$0.118,A$118,A$471,4 TB,5 years,External,SSD,New,"SanDisk 4TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and dust Resistance, External Solid State Drive, Sky Blue - SDSSDE61-4T00-G25B","<a href=""https://www.amazon.com.au/dp/B0C5SF333L"">SanDisk 4TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and dust Resistance, External Solid State Drive, Sky Blue - SDSSDE61-4T00-G25B</a>"
A$0.118,A$118,A$236,2 TB,,External,SSD,New,"SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and dust Resistance, Updated Firmware, Monterey - External Solid State Drive - SDSSDE61-2T00-G25M","<a href=""https://www.amazon.com.au/dp/B0C59G53GS"">SanDisk 2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and dust Resistance, Updated Firmware, Monterey - External Solid State Drive - SDSSDE61-2T00-G25M</a>"
A$0.118,A$118,A$59,500 GB,,USB,Flash,New,Patriot Supersonic Rage Prime USB 3.2 Gen 2 Flash Drive - 500GB (PEF500GRPMW32U),"<a href=""https://www.amazon.com.au/dp/B095HXK1D1"">Patriot Supersonic Rage Prime USB 3.2 Gen 2 Flash Drive - 500GB (PEF500GRPMW32U)</a>"
A$0.118,A$118,A$118,1 TB,5 years,M.2,NVMe,New,"TEAMGROUP MP44 1TB SLC Cache Gen 4x4 M.2 2280 PCIe 4.0 with NVMe Laptop & Desktop & NUC & NAS SSD Solid State Drive (R/W Speed up to 7,400/6,500MB/s) TM8FPW001T0C101","<a href=""https://www.amazon.com.au/dp/B0C4KRMKFW"">TEAMGROUP MP44 1TB SLC Cache Gen 4x4 M.2 2280 PCIe 4.0 with NVMe Laptop & Desktop & NUC & NAS SSD Solid State Drive (R/W Speed up to 7,400/6,500MB/s) TM8FPW001T0C101</a>"
A$0.118,A$118,A$59,500 GB,,"Internal 3.5""",HDD,New,Western Digital 500 GB Caviar Blue SATA 3 Gb/s 7200 RPM 16 MB Cache Bulk/OEM Desktop Hard Drive - WD5000AAKS,"<a href=""https://www.amazon.com.au/dp/B000Q82PIQ"">Western Digital 500 GB Caviar Blue SATA 3 Gb/s 7200 RPM 16 MB Cache Bulk/OEM Desktop Hard Drive - WD5000AAKS</a>"
A$0.119,A$119,A$38,32 GB x10,,USB,Flash,New,"Wholesale 10 Pack 1MB-32GB Bulk Pack USB Flash Drives Swivel Thumb Drive Memory Stick, Black (2GB)","<a href=""https://www.amazon.com.au/dp/B07GZ3J3BP"">Wholesale 10 Pack 1MB-32GB Bulk Pack USB Flash Drives Swivel Thumb Drive Memory Stick, Black (2GB)</a>"
A$0.119,A$119,A$119,1 TB,,Internal,SSD,New,"Samsung 870 EVO Internal Solid State Drive, 1 TB","<a href=""https://www.amazon.com.au/dp/B08T1SMTF9"">Samsung 870 EVO Internal Solid State Drive, 1 TB</a>"
A$0.119,A$119,A$119,1 TB,,M.2,NVMe,New,"Silicon Power SU01KGBP44UD9007MM 1TB UD90 2230 NVMe 4.0 Gen4 PCIe M.2 SSD R/W up to 5,000/3,200MB/s Solid State Drive Compatible with Steam Deck","<a href=""https://www.amazon.com.au/dp/B0CCDBKKZY"">Silicon Power SU01KGBP44UD9007MM 1TB UD90 2230 NVMe 4.0 Gen4 PCIe M.2 SSD R/W up to 5,000/3,200MB/s Solid State Drive Compatible with Steam Deck</a>"
A$0.119,A$119,A$119,1 TB,3 years,M.2,NVMe,New,"Crucial P310 2280 PCIe Gen4 3D NAND NVMe M.2 Internal Solid State Drive, 1TB","<a href=""https://www.amazon.com.au/dp/B0DC8VPSHV"">Crucial P310 2280 PCIe Gen4 3D NAND NVMe M.2 Internal Solid State Drive, 1TB</a>"
A$0.120,A$120,A$240,2 TB,,"Internal 3.5""",HDD,New,"Lenovo 2TB 3.5"" 7.2k NLSAS HDD","<a href=""https://www.amazon.com.au/dp/B011ANO89O"">Lenovo 2TB 3.5"" 7.2k NLSAS HDD</a>"
